track id, amazement, solemnity, tenderness, nostalgia, calmness, power, joyful_activation, tension, sadness
1,7,16,10,14,30,1,4,3,15
2,5,8,20,16,35,2,1,1,5
3,8,16,6,8,3,13,19,11,7
4,5,6,22,19,32,1,0,1,6
5,2,13,14,23,14,2,3,8,14
6,5,10,10,14,26,3,11,6,6
7,16,4,7,4,5,10,38,7,1
8,4,13,15,14,22,2,9,7,7
9,5,12,14,18,21,2,3,1,16
10,13,10,1,2,1,24,30,10,1
11,2,14,11,18,17,2,3,6,18
12,16,3,8,8,8,4,38,4,2
13,1,15,7,19,18,7,1,11,12
14,6,10,15,16,19,4,7,8,6
15,3,15,13,20,16,1,1,4,20
16,4,12,2,2,1,31,5,28,6
17,4,7,25,19,28,0,0,2,8
18,19,9,3,6,6,5,41,2,0
19,5,16,16,13,22,2,2,5,10
20,4,19,7,14,23,2,3,9,13
21,7,10,18,12,28,1,9,2,4
22,9,12,20,5,18,3,17,4,3
23,7,22,2,4,2,17,28,5,4
24,5,11,0,0,4,21,27,20,4
25,9,21,7,12,12,2,11,10,7
26,12,12,1,9,1,15,29,10,3
27,4,28,0,2,1,30,2,16,8
28,16,4,13,3,21,0,34,2,0
29,7,13,13,13,20,1,6,4,16
30,22,17,1,1,5,19,26,1,0
31,4,9,13,24,23,2,1,4,12
32,3,10,9,16,19,1,5,2,13
33,0,5,12,12,23,0,2,2,11
34,6,3,3,3,7,1,16,2,1
35,2,1,4,3,12,0,1,2,3
36,2,2,5,6,9,2,0,3,3
37,3,4,8,6,6,1,0,4,5
38,1,4,5,6,9,0,1,1,6
39,10,5,0,0,0,9,12,3,0
40,5,5,0,1,0,8,10,6,0
41,3,7,4,6,6,1,3,2,3
42,3,3,4,3,11,2,0,2,2
43,4,4,3,4,1,3,5,4,5
44,3,6,4,3,8,2,4,1,3
45,1,4,3,7,9,1,1,1,9
46,3,2,8,7,9,0,1,0,2
47,1,3,4,8,7,1,1,2,11
48,1,8,1,6,4,1,2,6,5
49,0,10,2,2,2,5,1,8,11
50,5,6,3,2,0,6,12,5,1
51,2,3,4,12,6,0,0,2,7
52,4,6,1,1,1,4,9,7,1
53,4,6,0,3,0,5,6,12,2
54,3,3,3,0,8,5,15,2,2
55,2,1,7,2,10,1,4,5,3
56,3,3,6,5,13,1,2,0,3
57,4,12,4,2,2,1,1,4,7
58,1,6,2,3,2,8,3,8,4
59,4,4,0,2,0,8,10,5,2
60,2,5,5,9,9,0,0,2,9
61,3,3,0,3,3,1,10,6,2
62,3,0,2,4,0,2,13,5,0
63,1,5,4,7,8,0,0,3,5
64,4,1,1,1,4,2,10,4,0
65,4,1,0,0,0,5,12,5,0
66,2,4,0,3,1,3,4,8,1
67,3,3,5,1,8,2,4,4,1
68,0,4,5,8,10,1,1,2,4
69,2,8,27,23,25,2,3,3,0
70,4,7,1,9,8,1,0,3,5
71,3,5,1,3,4,3,11,2,0
72,5,6,0,3,6,4,6,6,3
73,3,3,3,6,5,0,3,4,0
74,5,4,1,3,4,4,6,8,2
75,3,2,2,3,2,4,6,8,1
76,0,7,0,3,2,2,6,8,4
77,1,2,7,6,8,1,5,3,0
78,2,3,2,3,1,4,11,7,0
79,3,2,1,5,4,3,10,3,2
80,4,6,1,4,5,2,11,1,0
81,2,5,1,0,3,5,12,4,0
82,1,1,8,9,13,0,0,0,3
83,3,2,4,9,3,1,7,3,7
84,1,9,4,7,8,1,2,2,3
85,6,1,1,2,3,2,8,6,2
86,3,6,1,3,5,4,3,7,3
87,1,4,5,7,9,0,0,0,6
88,4,1,2,3,0,4,8,8,3
89,0,1,7,7,12,0,1,0,2
90,4,5,0,0,2,2,6,6,0
91,0,7,3,5,6,1,0,1,10
92,2,7,3,6,9,0,2,1,2
93,2,0,6,4,15,0,3,0,2
94,5,10,0,1,6,2,5,4,3
95,5,3,4,3,2,2,12,1,2
96,1,3,6,5,8,1,6,1,1
97,2,8,1,3,4,0,0,5,6
98,1,7,4,6,10,0,0,1,6
99,2,2,7,4,15,2,3,1,3
100,2,8,0,2,3,9,2,5,2
101,1,13,9,15,5,13,10,12,15
102,6,2,18,30,18,0,10,2,4
103,5,3,3,8,8,22,24,12,4
104,9,10,13,21,11,2,6,7,9
105,3,11,4,18,9,12,2,11,19
106,4,4,13,22,18,2,3,3,22
107,11,14,8,10,15,5,12,7,7
108,6,13,5,16,13,12,2,14,9
109,9,5,3,7,4,21,21,16,3
110,3,8,1,7,5,24,6,17,18
111,12,3,1,5,5,19,35,7,4
112,7,10,2,16,15,13,4,15,8
113,2,5,21,21,21,0,1,3,17
114,3,14,2,15,9,19,5,14,10
115,3,10,3,13,6,22,6,13,14
116,4,9,12,18,12,12,10,8,5
117,3,7,15,18,26,0,3,5,11
118,3,5,22,20,20,0,1,1,8
119,7,4,2,1,0,8,11,5,0
120,3,4,5,9,4,5,3,3,3
121,3,1,0,0,0,10,3,9,3
122,3,2,11,7,5,3,1,2,1
123,1,0,0,2,0,4,13,3,1
124,2,1,1,4,3,1,2,3,5
125,0,1,1,2,0,1,6,3,2
126,1,2,0,0,0,3,9,3,0
127,2,0,0,3,0,2,5,7,2
128,5,2,0,5,1,4,9,2,1
129,4,2,2,1,2,6,8,2,0
130,5,6,0,1,2,6,3,6,2
131,0,2,2,4,1,2,0,5,12
132,2,0,3,5,2,1,6,2,3
133,1,3,4,5,9,2,0,0,5
134,0,3,6,4,5,2,1,2,4
135,1,1,4,2,6,3,3,4,3
136,1,2,1,3,1,7,5,6,1
137,2,0,1,2,0,7,7,5,1
138,2,0,0,1,2,7,9,2,1
139,3,2,1,4,0,10,1,5,5
140,4,0,1,3,1,6,8,3,0
141,2,2,0,4,1,3,1,3,7
142,0,3,2,3,5,2,0,5,7
143,2,3,2,3,8,3,4,2,2
144,4,1,0,0,2,4,9,6,0
145,0,0,3,8,9,1,0,1,5
146,3,4,4,5,4,2,3,1,5
147,2,1,2,7,6,2,4,2,4
148,5,0,1,4,3,3,5,3,1
149,1,1,5,7,9,0,0,1,4
150,2,7,2,3,4,2,1,4,3
151,0,0,4,6,3,5,6,1,3
152,1,4,0,5,0,11,2,5,4
153,1,1,0,10,5,1,2,0,7
154,2,2,1,5,5,1,5,2,4
155,0,5,1,5,4,3,3,2,2
156,3,0,0,0,1,6,14,1,0
157,2,3,2,3,3,1,3,4,4
158,6,5,1,5,6,3,5,2,3
159,3,0,4,6,4,1,2,4,0
160,0,2,3,2,2,1,4,7,2
161,0,2,1,1,2,3,0,13,2
162,0,1,0,3,0,9,7,5,1
163,1,1,4,7,2,5,3,3,2
164,2,2,6,6,4,1,2,1,5
165,0,2,10,6,8,0,0,0,3
166,3,1,3,9,3,3,4,2,2
167,2,1,2,3,2,1,4,2,2
168,2,0,2,9,5,0,1,2,4
169,4,1,0,1,0,6,9,3,0
170,3,2,5,7,4,0,1,0,4
171,0,3,0,2,2,6,4,8,2
172,4,2,5,8,5,1,3,1,0
173,4,2,1,6,7,5,9,3,0
174,2,1,0,2,0,9,4,5,3
175,2,2,5,8,5,2,2,0,3
176,0,0,6,7,7,0,1,1,22
177,0,1,6,6,8,3,3,1,3
178,4,2,5,4,8,1,2,2,0
179,2,2,0,3,1,0,10,4,1
180,2,2,2,1,4,4,1,4,6
181,1,1,4,1,4,4,8,3,0
182,1,1,8,5,8,0,0,0,4
183,1,1,5,6,7,0,1,0,5
184,2,1,4,5,8,0,2,3,0
185,0,1,0,0,2,6,6,6,1
186,3,1,4,4,2,4,3,2,3
187,0,5,3,5,6,1,0,2,5
188,1,0,7,8,3,1,2,3,7
189,2,1,8,1,4,2,7,3,2
190,0,2,6,8,7,1,0,2,6
191,2,3,6,6,6,1,2,1,2
192,0,2,6,6,6,2,3,2,2
193,0,2,6,7,6,0,0,1,8
194,2,1,4,4,5,3,6,0,5
195,0,2,7,9,9,0,0,0,6
196,3,2,0,7,6,1,4,2,4
197,2,2,1,2,1,4,6,3,1
198,3,0,1,2,1,6,10,0,0
199,5,2,1,3,0,9,4,1,1
200,3,0,4,3,2,1,3,1,1
201,6,7,0,1,8,15,19,32,3
202,8,9,3,5,26,4,26,10,0
203,5,21,1,3,5,22,1,24,9
204,4,15,0,4,3,27,2,31,5
205,12,10,14,13,30,2,3,3,5
206,4,7,1,1,4,18,30,25,2
207,6,8,1,6,11,6,19,33,3
208,6,16,7,8,22,8,5,15,5
209,6,5,0,3,3,18,29,28,1
210,5,17,4,7,15,15,2,20,6
211,4,7,4,2,12,11,14,35,7
212,6,10,2,7,12,19,20,17,0
213,8,6,4,9,18,8,21,10,6
214,8,4,3,9,9,9,30,16,4
215,12,6,2,6,15,10,26,13,2
216,5,5,5,5,7,10,21,18,2
217,1,6,10,16,26,1,0,2,10
218,6,7,2,2,16,3,5,9,2
219,2,3,3,0,6,2,1,2,5
220,9,2,4,5,10,3,5,5,2
221,2,12,1,1,2,10,1,7,3
222,2,0,0,0,0,7,7,13,2
223,2,0,0,0,1,3,7,4,1
224,1,3,3,1,8,0,3,1,1
225,0,4,0,0,6,3,0,12,4
226,0,7,1,5,6,2,0,1,5
227,2,2,1,2,7,1,1,1,0
228,1,1,0,1,0,10,6,1,0
229,2,1,0,0,0,3,3,8,1
230,1,1,0,1,2,5,6,4,3
231,1,2,0,0,2,5,2,4,1
232,3,3,3,1,4,5,0,3,0
233,0,4,0,0,0,3,1,7,0
234,0,4,1,0,3,3,2,5,2
235,1,3,1,2,4,3,2,2,2
236,0,2,0,1,0,4,6,4,1
237,0,5,1,2,5,1,0,5,1
238,1,3,2,5,7,1,0,5,4
239,1,3,1,0,0,2,4,5,1
240,1,4,0,1,4,0,0,7,0
241,1,7,1,1,6,3,2,1,1
242,0,5,0,8,6,1,1,2,3
243,0,2,0,2,0,6,2,5,2
244,0,5,0,1,3,2,0,4,5
245,0,6,1,1,2,3,0,8,3
246,1,4,0,3,3,4,3,4,2
247,3,5,0,2,6,2,0,4,2
248,1,3,0,0,1,11,2,6,1
249,1,6,4,4,7,1,1,0,0
250,0,2,1,0,0,6,7,6,0
251,4,4,1,1,0,6,4,3,4
252,1,4,2,4,3,2,0,3,6
253,2,3,1,1,2,2,3,6,1
254,2,5,0,0,3,3,6,8,1
255,1,2,0,1,2,6,7,7,1
256,2,0,1,0,1,5,1,8,3
257,3,1,0,3,1,0,5,3,1
258,1,2,1,2,5,0,1,3,0
259,0,1,3,0,6,2,5,3,1
260,4,4,1,1,0,7,1,9,1
261,2,5,1,2,3,1,0,8,3
262,0,2,0,0,1,1,0,9,4
263,2,3,1,2,5,0,0,5,6
264,2,1,0,0,1,4,6,6,0
265,2,5,2,3,5,3,1,3,2
266,2,3,1,2,1,4,4,7,2
267,1,5,2,3,5,2,0,4,4
268,1,1,0,1,0,2,5,6,0
269,3,1,0,1,1,3,8,1,0
270,1,2,2,3,8,0,1,1,1
271,0,1,0,2,0,5,5,5,2
272,1,1,0,1,1,1,7,4,0
273,1,5,1,0,0,7,6,2,1
274,2,2,2,1,7,0,1,3,1
275,2,4,0,2,1,3,0,6,2
276,0,2,0,2,0,3,7,5,1
277,1,3,0,0,0,6,5,5,0
278,1,1,0,4,0,3,6,1,0
279,0,6,0,4,5,2,0,5,2
280,1,4,0,3,3,3,2,4,0
281,3,0,0,0,3,4,8,3,0
282,3,3,0,2,2,3,5,5,0
283,1,7,2,2,9,1,1,5,1
284,1,4,1,0,6,0,3,3,0
285,1,4,0,5,6,1,2,2,3
286,0,2,0,1,2,4,3,7,1
287,2,1,2,1,5,2,6,1,1
288,3,5,0,3,7,1,5,2,1
289,2,6,1,1,6,2,2,1,5
290,1,2,0,3,5,5,4,4,0
291,0,6,2,3,6,2,1,3,1
292,2,2,0,0,3,4,6,4,0
293,1,2,1,1,1,7,4,4,0
294,3,2,2,1,4,1,2,1,1
295,1,2,1,2,6,0,0,2,3
296,0,1,3,3,5,2,6,3,1
297,0,5,0,0,2,5,1,4,4
298,2,2,1,2,4,2,6,1,3
299,1,6,1,1,3,1,1,4,3
300,1,0,1,1,1,5,5,4,1
301,13,1,22,21,15,2,17,7,5
302,3,5,19,16,22,1,14,4,6
303,1,11,14,15,16,0,0,15,21
304,10,17,6,10,8,13,4,13,12
305,7,4,15,25,16,1,16,4,5
306,6,3,20,21,12,2,11,5,12
307,2,8,17,22,19,1,1,2,19
308,0,6,22,19,24,0,0,4,16
309,2,13,5,19,20,4,2,7,19
310,6,2,28,24,13,0,5,2,12
311,2,6,8,16,22,8,4,10,15
312,4,10,7,19,15,8,4,6,20
313,8,4,3,5,2,18,27,20,5
314,4,6,12,19,31,2,4,4,8
315,2,5,13,21,24,2,4,7,12
316,3,9,11,11,18,5,8,6,3
317,1,9,14,9,24,1,2,2,9
318,3,9,4,3,3,10,8,8,5
319,1,5,1,1,4,1,0,12,5
320,2,11,4,5,10,2,1,2,5
321,4,0,1,1,1,9,7,3,2
322,0,3,2,6,9,1,0,1,4
323,0,0,1,5,7,1,4,5,2
324,1,2,4,6,4,0,0,2,5
325,0,2,5,7,6,0,0,1,6
326,1,0,3,2,6,0,0,5,5
327,1,0,7,4,7,0,0,0,4
328,2,2,0,2,0,2,10,6,0
329,1,0,1,8,2,2,3,2,5
330,3,1,7,4,5,0,2,1,1
331,0,3,1,5,2,3,0,5,7
332,1,1,7,5,2,0,3,1,4
333,0,0,5,5,7,0,0,1,5
334,1,2,4,5,3,3,2,1,1
335,2,3,0,1,0,5,6,1,0
336,2,1,1,1,0,4,9,3,0
337,0,3,2,7,4,0,1,2,1
338,1,2,2,7,7,2,2,0,3
339,0,4,0,4,4,1,0,7,3
340,1,6,1,0,5,2,1,7,1
341,2,1,4,7,1,1,4,0,4
342,1,0,3,4,7,0,0,1,4
343,0,1,0,2,0,6,5,4,2
344,0,1,0,1,2,2,5,6,1
345,1,0,2,4,6,2,3,3,2
346,1,5,0,1,4,3,1,2,3
347,1,2,3,2,6,2,4,3,0
348,1,2,3,3,1,1,0,5,2
349,2,0,0,2,1,3,4,7,0
350,1,0,7,6,5,0,0,0,3
351,0,1,6,8,5,0,0,0,4
352,2,3,7,4,5,1,0,1,3
353,0,2,5,5,6,0,1,3,4
354,2,3,2,6,11,0,1,0,1
355,3,2,6,4,3,1,2,1,2
356,2,2,5,4,7,2,6,2,3
357,6,3,3,5,7,1,2,0,1
358,3,4,0,1,1,5,8,6,2
359,0,3,5,3,2,1,1,1,6
360,2,5,2,0,7,0,1,6,4
361,1,3,3,1,2,2,2,6,5
362,2,1,0,1,0,8,9,0,0
363,4,0,1,6,4,1,5,1,1
364,1,1,3,4,6,0,0,3,6
365,2,3,5,3,5,0,1,1,4
366,0,1,5,7,1,0,0,2,5
367,2,4,0,2,0,4,0,6,7
368,1,1,6,3,4,1,10,0,0
369,1,3,4,4,9,0,5,1,2
370,1,1,2,25,6,0,0,0,24
371,1,1,0,0,0,8,7,6,0
372,1,2,6,4,6,0,3,0,3
373,0,0,5,6,7,0,3,2,0
374,2,1,5,7,5,0,1,1,5
375,2,2,1,4,5,2,7,1,1
376,2,1,9,5,5,0,1,0,1
377,3,0,3,5,2,6,6,1,1
378,1,0,1,4,3,1,9,0,0
379,2,0,1,3,1,2,7,3,2
380,2,2,0,2,1,1,4,4,3
381,1,0,4,5,9,0,0,2,2
382,3,0,0,7,1,6,4,3,0
383,4,1,7,2,0,3,10,0,0
384,2,0,3,3,4,2,4,1,1
385,4,1,1,1,2,3,7,2,1
386,4,1,1,2,2,2,1,4,2
387,1,0,0,2,0,6,5,7,1
388,5,2,4,4,1,0,6,2,0
389,2,1,6,3,4,0,3,1,4
390,2,0,2,5,1,3,5,2,1
391,3,0,2,2,0,3,9,2,1
392,1,0,7,5,8,0,1,0,4
393,2,6,3,4,6,0,2,4,2
394,3,1,0,3,0,7,7,5,3
395,6,0,2,2,1,1,9,1,0
396,3,2,3,6,4,0,2,1,2
397,1,1,1,2,2,4,0,4,6
398,3,0,0,4,3,2,7,3,2
399,4,1,7,7,8,1,2,0,3
400,3,2,1,4,1,0,3,6,5
